,Symbol,Contract_Type,Product_Name,Asset_Class_Id
238,MCW,Option,Wheat Intercommodity Spread Options (MGEX-CBOT) Options,1
239,MKW,Option,Wheat Intercommodity Spread Options (MGEX-KCBT) Options,1
241,GF,Option,Feeder Cattle Options,1
242,HE,Option,Lean Hog Options,1
243,LE,Option,Live Cattle Options,1
244,"L0A,L0B,L0C",Option,Live Cattle Calendar Spread Options,1
245,PRK,Option,Pork Cutout Options,1
247,BLK,Option,Block Cheese Options,1
248,CB,Option,Cash-Settled Butter Options,1
249,CSC,Option,Cash-Settled Cheese Options,1
250,DC,Option,Class III Milk Options,1
251,GDK,Option,Class IV Milk Options,1
252,DY,Option,Dry Whey Options,1
253,JQ,Option,Mid-Sized Milk Options,1
254,GNF,Option,Non-fat Dry Milk Options,1
256,LBR,Option,Lumber Options,1
260,CU,Future,Chicago Ethanol (Platts) Futures,2
261,CU-CU,Future,Chicago Ethanol (Platts) Futures,2
262,CU:SA,Future,Chicago Ethanol (Platts) Futures,2
263,CU:SB,Future,Chicago Ethanol (Platts) Futures,2
264,EL,Future,Denatured Fuel Ethanol Futures,2
265,EL-EL,Future,Denatured Fuel Ethanol Futures,2
266,EL-CU,Future,Denatured Fuel Ethanol Futures,2
267,FBD,Future,FAME 0 (Argus) Biodiesel fob Rdam (RED Compliant) Futures,2
268,FBT,Future,FAME 0 Biodiesel FOB Rdam (Argus) (RED Compliant) vs. Low Sulphur Gasoil Futures,2
269,UCR,Future,UCOME Biodiesel (RED Compliant) FOB ARA (Argus) Futures,2
270,UCS,Future,UCOME Biodiesel (RED Compliant) FOB ARA (Argus) vs Low Sulphur Gasoil Futures,2
271,AZ1,Future,Ethanol T2 FOB Rdam Including Duty (Platts) Futures,2
272,Z1B,Future,Ethanol T2 FOB Rdam Including Duty (Platts) BALMO Futures,2
273,AEZ,Future,NY Ethanol (Platts) Futures,2
274,AEZ-AEZ,Future,NY Ethanol (Platts) Futures,2
275,AEZ:SA,Future,NY Ethanol (Platts) Futures,2
276,NIE,Future,NY Harbor ITT Ethanol (Platts) Futures,2
277,NIE-NIE,Future,NY Harbor ITT Ethanol (Platts) Futures,2
278,NIE:SA,Future,NY Harbor ITT Ethanol (Platts) Futures,2
279,RBF,Future,RME Biodiesel (Argus) fob Rdam (RED Compliant) Futures,2
280,BFR,Future,RME Biodiesel FOB Rdam (Argus) (RED Compliant) vs. Low Sulphur Gasoil Futures,2
281,RN4,Future,D4 Biodiesel RINS (OPIS) Futures,2
284,RN6,Future,D6 Ethanol RINs (OPIS) Previous Year Futures,2
286,PR4,Future,D4 Biodiesel RINs (OPIS) Previous Year Futures,2
287,PR6,Future,D6 Ethanol RINs (OPIS) Previous Year Futures,2
289,MTF,Future,Coal (API2) CIF ARA (ARGUS‐McCloskey) Futures,2
290,MTF-MTF,Future,Coal (API2) CIF ARA (ARGUS‐McCloskey) Futures,2
291,MTF:SA,Future,Coal (API2) CIF ARA (ARGUS‐McCloskey) Futures,2
